accountId;gisc;iso2
bd0458b6-8093-47a2-b9a5-e9a155cd3967;Tehran;af
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;dz
2eae5820-2244-473b-a51b-61234b2dd433;Pretoria;ao
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;ag
8a76f9e8-59b6-4a48-9a94-83db603d20ab;Brasilia;ar
e93af777-469f-4e88-8716-32135b00db68;Moscow;am
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;aw
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;au
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;au
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;au
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;at
e93af777-469f-4e88-8716-32135b00db68;Moscow;az
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;bs
0d8650c1-b4ff-46cc-b691-6521fb17b3f1;Jeddah;bh
712bbfbb-d8b7-4e3a-b36d-17e077f92783;New Delhi;bd
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;bb
e93af777-469f-4e88-8716-32135b00db68;Moscow;by
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;be
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;bz
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;bj
712bbfbb-d8b7-4e3a-b36d-17e077f92783;New Delhi;bt
8a76f9e8-59b6-4a48-9a94-83db603d20ab;Brasilia;bo
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;ba
2eae5820-2244-473b-a51b-61234b2dd433;Pretoria;bw
8a76f9e8-59b6-4a48-9a94-83db603d20ab;Brasilia;br
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;ai
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;vg
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;ky
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;ms
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;tc
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;bn
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;bg
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;bf
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;bi
6bcd27b6-6403-462f-87a0-4fa64cbcad63;Tokyo;kh
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;cm
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;ca
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;cv
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;cf
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;td
8a76f9e8-59b6-4a48-9a94-83db603d20ab;Brasilia;cl
3a567fa5-5df1-4264-a1d8-dca516c577f5;Beijing;cn
8a76f9e8-59b6-4a48-9a94-83db603d20ab;Brasilia;co
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;km
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;cg
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;ck
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;cr
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;ci
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;hr
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;cu
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;cw
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;sx
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;cy
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;cz
3a567fa5-5df1-4264-a1d8-dca516c577f5;Beijing;kp
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;cd
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;dk
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;dj
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;dm
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;do
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;do
8a76f9e8-59b6-4a48-9a94-83db603d20ab;Brasilia;ec
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;eg
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;sv
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;gq
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;er
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;ee
2eae5820-2244-473b-a51b-61234b2dd433;Pretoria;sz
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;et
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;fj
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;fi
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;fr
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;gf
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;gp
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;mf
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;bl
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;tf
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;re
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;mq
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;pm
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;fr
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;wf
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;pf
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;ga
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;gm
e93af777-469f-4e88-8716-32135b00db68;Moscow;ge
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;de
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;gh
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;gr
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;gt
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;gn
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;gw
8a76f9e8-59b6-4a48-9a94-83db603d20ab;Brasilia;gy
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;ht
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;hn
3a567fa5-5df1-4264-a1d8-dca516c577f5;Beijing;hk
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;hu
40d4f6ba-9751-4bc6-82f6-5dc79673de77;Exeter;is
712bbfbb-d8b7-4e3a-b36d-17e077f92783;New Delhi;in
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;id
bd0458b6-8093-47a2-b9a5-e9a155cd3967;Tehran;ir
bd0458b6-8093-47a2-b9a5-e9a155cd3967;Tehran;iq
40d4f6ba-9751-4bc6-82f6-5dc79673de77;Exeter;ie
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;il
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;it
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;jm
6bcd27b6-6403-462f-87a0-4fa64cbcad63;Tokyo;jp
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;jo
e93af777-469f-4e88-8716-32135b00db68;Moscow;kz
e93af777-469f-4e88-8716-32135b00db68;Moscow;kz
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;ke
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;ki
0d8650c1-b4ff-46cc-b691-6521fb17b3f1;Jeddah;kw
e93af777-469f-4e88-8716-32135b00db68;Moscow;kg
6bcd27b6-6403-462f-87a0-4fa64cbcad63;Tokyo;la
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;lv
2eae5820-2244-473b-a51b-61234b2dd433;Pretoria;ls
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;lr
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;ly
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;lt
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;lu
3a567fa5-5df1-4264-a1d8-dca516c577f5;Beijing;mo
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;mg
2eae5820-2244-473b-a51b-61234b2dd433;Pretoria;mw
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;my
712bbfbb-d8b7-4e3a-b36d-17e077f92783;New Delhi;mv
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;ml
40d4f6ba-9751-4bc6-82f6-5dc79673de77;Exeter;mt
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;mr
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;mu
3edcada0-7ebc-4476-bbfa-d5aedad2996d;Washington;mx
36d3f1db-5b27-40ab-a94b-867fd63035c0;Melbourne;fm
5ba3e055-e2c8-4d74-8b59-99cfae6f2107;Toulouse;mc
3a567fa5-5df1-4264-a1d8-dca516c577f5;Beijing;mn
af21d0dc-b0a6-4f85-866e-b9a561003903;Offenbach;me
6ee7e53f-4811-4ea0-830a-4ec2847a1017;Casablanca;ma
2eae5820-2244-473b-a51b-61234b2dd433;Pretoria;mz
6bcd27b6-6403-462f-87a0-4fa64cbcad63;Tokyo;mm
